,Resume,Category
867,hobby playing chess solving rubik cube watching series language english hindi marathi education  january january bachelor degree information technology first class pune maharashtra jspm jayawantrao sawant college engineering january january diploma information technology first class nashik maharashtra k k wagh polytechnic january ssc first class nashik maharashtra new era english school blockchain developer blockchain developer corpcloud global service pvt ltd   blockchain exprience month smart contract exprience month dapps exprience month mean stack exprience months   corpcloud global service pvt ltd  worked productively team identify requirement proposed idea enhancing product developing managing user blockchain account wallet transaction regularly monitoring smooth execution blockchain transaction wallet function along identifying correcting possible error writing smart contracts api documenting  corpcloud global service pvt ltd  identifying complex bug system resolving implemented updated application module direction senior effectively coded required change alteration checked repository using bit bucket performed code check in check out regularly worked api,Blockchain
498,achievement oriented people management  ability manage change ease proven strength problem solving coordination analysis strong communication interpersonal learning organizing  matched ability manage stress time people effectively able handle multiple task  simultaneously willing travel relocateeducation  electrical electronics engineering gulbarga karnataka vtu vishweshwariya university hsc wai maharashtra kisanveer mahavidyalay wai kohlapur university electrical engineer electrical engineer refcon engineering pvt ltd      refcon engineering pvt ltd  greenfield   status libs braseries burkena faso africa completed citrus processing india nanded completed carlsberg group myanmar yangon completed ub united brewery  mysore completed ub united brewery  hyderabad completed haldiram food pvt ltd nagpur completed tetra pak india pvt ltd amreli completed ub united brewery  rajasthan completed handling activity  preparing  schedule plans engineering design drawing technical specification per client requirement review process p id selection instrument get energy efficient process material specification approval modification electrical drawing per requirement process flow diagram general electrical standard carry automation engineering includes hardware software specification generate control philosophy process automation per p id process necessary technical documentation manual calculate estimation value  price bidding client includes mcc plc panel power control cabling tray earthing material etc selection electrical switchgear ht lt pcc mcc apfc panels power control cable motors protection metering ct pts acbs earthing lightning analog digital instrument floating  enquiry communicate vendors evaluate vendor quote technical alignment generate power distribution sld drawing per load flow general arrangement drawing panels controller logic diagrams developing cable route plan schedules cable tray layout autocad tool ing installation commissioning troubleshooting mcc plc lt panels vfd drives soft starters programming danfoss schnider vacon siemens abb drive working  siemens    et series allen bready r logix plc installation calibration troubleshooting field instrument pressure temperature transmitter pneumatic valves actuators modulating valves solenoid valve flow meter flow switches flow transmitter level transmitter etc carry loop testing per control cable schedule hand  troubleshooting engineering service maintenance operation managing various electrical power system equipment supervising commissioning activity handling mechanical maintenance service activity operating plant  kisanveer sugar pvt ltd  handling activity   worked asst electrical engineer erection field across mw power plant testing commissioning electrical maintenance operation allied activity testing commissioning installation ht lt panels vfd drive dc drive panel scheduling planning predictive preventive maintenance process plants root cause analysis including budgeting cost control activity managing overhauling maintenance lt motor dc shunt motors panel switchgears vfds soft starters dg set amf panel plant lighting installation commissioning maintenance power distribution transformer acb vcb sf breaker ct pt units fcbc panels ups protection system include microprocessor based relay numerical relay relay co ordination monitoring plan schedule start maintenance activity achieving target implementing maintenance system shut time daily power monitoring calculation reporting monthly basis,Electrical Engineering
708, exceptional communication networking  successful working team environment well independently ability work pressure multi task strategy campaign corporate communication mi reporting documentation training development sale support back office operation new process development launch handling customer escalationseducation  bachelor business administration business administration icfai business school integrated institute management technology higher secondary school bi school delhi delhi senior secondary school delhi public school senior manager pmo   training exprience month documentation exprience month operation exprience month sale exprience month corporate communication exprience months    review understand existing business process identify functional requirement eliminate waste improve controllership deliver flexibility identify process design prototype potential solutions calculate trade offs costs suggest recommended course action identifying modification new existing process  management new requirement opportunity applying efficient effective solution responsible delivering process reengineering  across process closely working relevant business operation unit responsible documentation train stakeholder change   responsible defining scope  accordance stakeholders internal team senior management team prepare  charter defined timeline  related activity preparation business requirement document brd  closing understanding document ud development team uat completion deployment preparation training documents slas sop etc required conduct training impacted team ensure smooth transition  teleperformance india  driving sale call center achieve target overall responsibility exploring selling opportunity understanding customer preference requirement conceptualizing implementing sale promotional activity part pilot batch new  launch training new joiner process call barging interaction client understand requirement expectation handling call quality session client handling adhoc requirement client well senior management delivering timely resolution master business administration,PMO
619,software proficiency language basic c sql pl sqljavajavaeejavascripthtmlcssjquerymysqlspring hibernate software tool xillinx modelsim matlab multisim operating system window xp vista   ubuntu  profile  fpga implementation team size role programmer aes algorithm aes advanced encryption standard used cryptography protect data encrypted secret key te  sorting robot team size role mechanism designer tc sensor sort rgb color ball according color diploma  rfid based student team size role interface attendance system using gsm student show rfid card message send via gsm parent ward presenteducation  may savitribai phule pune maharashtra pune university march ssc maharashtra board devops engineer   c exprience month c exprience month sql exprience month pl sql exprience month core java exprience month javascript exprience le  month html exprience le  month cs exprience le  month jquery exprience le  month javaee exprience le  month mysql exprience le  month python exprience months   parkar consulting lab  working devops team parkar consulting lab hand aws well python,DevOps Engineer
504,education  july may electrical electronics engineering bhopal madhya pradesh rgpv july may diploma electrical electrical engineering bhopal madhya pradesh rgpv university bhopal matric ghs bhuli electrical engineering   basic computer electrical machine electrical wiring solar power plant distribution substation exprience le  months   enigma business advisor  solar energy solar power plant installation maintenance transmission distribution line installation,Electrical Engineering
103,hard working quick learnereducation  june may llb law mumbai maharashtra mumbai university january bcom commerce mumbai maharashtra mumbai university january hsc maharashtra board january ssc maharashtra board advocate      vidishtra ,Advocate
46,education  mba acn college engineering mgt hr      hr assistant ,HR
637,software proficiency language basic c sql pl sqljavajavaeejavascripthtmlcssjquerymysqlspring hibernate software tool xillinx modelsim matlab multisim operating system window xp vista   ubuntu  profile  fpga implementation team size role programmer aes algorithm aes advanced encryption standard used cryptography protect data encrypted secret key te  sorting robot team size role mechanism designer tc sensor sort rgb color ball according color diploma  rfid based student team size role interface attendance system using gsm student show rfid card message send via gsm parent ward presenteducation  may savitribai phule pune maharashtra pune university march ssc maharashtra board devops engineer   c exprience month c exprience month sql exprience month pl sql exprience month core java exprience month javascript exprience le  month html exprience le  month cs exprience le  month jquery exprience le  month javaee exprience le  month mysql exprience le  month python exprience months   parkar consulting lab  working devops team parkar consulting lab hand aws well python,DevOps Engineer
398,computer  language script jsp servlet html css java script jquery ajax spring hibernate operating system microsoft window xp vista database sql concept oops core java advance java development tool eclipse net bean ide web server apache tomcat education  january hsc amravati maharashtra vidyabharati college january ssc amravati maharashtra holy cross english school java developer java developer kunal service pvt ltd   eclipse exprience le  month java exprience month hibernate exprience le  month spring exprience le  month jquery exprience le  months   kunal service pvt ltd  currently working java developer winsol solution pvt ltd july till date  yr java developer kunal service pvt ltd,Java Developer
230,education  bachelor bachelor commerce india guru nanak high school sale manager   data entry exprience le  month cold calling exprience le  month sale exprience le  month salesforce exprience le  month m office exprience le  months   emperor honda   honda car india ltd  worked asm maruti dealership  currently working manager sale honda car dealership last  good sportsman represent college various cricket tournament lead nagpur university cricket team also searching job car dealership cricket academy,Sales
681, exceptional communication networking  successful working team environment well independently ability work pressure multi task strategy campaign corporate communication mi reporting documentation training development sale support back office operation new process development launch handling customer escalationseducation  bachelor business administration business administration icfai business school integrated institute management technology higher secondary school bi school delhi delhi senior secondary school delhi public school senior manager pmo   training exprience month documentation exprience month operation exprience month sale exprience month corporate communication exprience months    review understand existing business process identify functional requirement eliminate waste improve controllership deliver flexibility identify process design prototype potential solutions calculate trade offs costs suggest recommended course action identifying modification new existing process  management new requirement opportunity applying efficient effective solution responsible delivering process reengineering  across process closely working relevant business operation unit responsible documentation train stakeholder change   responsible defining scope  accordance stakeholders internal team senior management team prepare  charter defined timeline  related activity preparation business requirement document brd  closing understanding document ud development team uat completion deployment preparation training documents slas sop etc required conduct training impacted team ensure smooth transition  teleperformance india  driving sale call center achieve target overall responsibility exploring selling opportunity understanding customer preference requirement conceptualizing implementing sale promotional activity part pilot batch new  launch training new joiner process call barging interaction client understand requirement expectation handling call quality session client handling adhoc requirement client well senior management delivering timely resolution master business administration,PMO
961, set o window xp database mysql sql server  language core java web technology html cs testing manual testing database testing bug tracking reporting end user handlingeducation  january mc pune maharashtra pvp college pravaranagar january hsc akjunior college january ssc akmahavidyalya jr testing engineer jr testing engineer tech innovation ltd   testing exprience month window xp exprience month cs exprience month database exprience month database testing exprience months   tech innovation ltd  responsibility analyzing testing requirement preparing test plans test scenario preparing test case executing test case tracking bug coordinating developer order fix preparing test summary report reporting quality manager attending meeting   name web based time attendance application environment window  vista window xp window  window client mccia sapphire park bramha suncity wanless hospital role software testing duration month  name android time attendance application vehicle tracking system vistor management system environment android mobile android tablet client vankan security role application testing duration month  name web based factory automation process web based annual maintenance charge environment window  vista window xp window  window role software testing duration month  name web based library management system environment window  vista window xp window  window role software testing duration month,Testing
956,computer proficiency basic m office powerpoint word outlook excel language known basic c cpp java basic networking basic command linux   minor   title applocker android  area android application  applocker provides protection system application well third party application installed android device password protection provided help pattern volume key hence extra measure privacy acquired major   title online complaint system cyber crime  area android application  online complaint system cyber crime android application use person lodged complaint police station regarding cyber crime action taken within prescribed time constraint person directly use application help directly lodge complaint commissioner office get store commissioner database necessary action taken strength belief team work team member leader hard ethical workereducation  january january yeshwantrao chavan nagpur maharashtra nagpur university diploma aggregate maharashtra state ssc education nagpur maharashtra maharashtra state testing engineer   android exprience month cpp exprience month database exprience month excel exprience month java exprience month selenium exprience month automation testing exprience month selenium webdriver exprience month manual testing exprience month regression testing exprience months   maxgen technology  software test engineer working maxgen technology past ,Testing
850,technical  category  language c c  oop dot net technology aspnet mvc adonet entity framework linq web technology html cs browser scripting javascript jquery ajax json web browser internet explorer  mozilla firefox front end framework bootstrap kendo ui database sql server development tool visual studio operating system m window    worked  name politician website role trainee   developed politician website website home page quick facts category biography gallery contactus page totally dynamic website environment operating system window development tool visual studio database server sql server technology net framework  aspnet mvc presentation layer html css jquery bootstrap role responsibility understanding requirements coding unit testing  name coaching management system cm   software help manage institute student teacher courses batches fees attendance mark provide easy report like outstanding fees marks attendance etc software specially designed coaching institute environment operating system window database server sql server technology net framework  aspnet mvc presentation layer html css javascript jquery bootstrap feature  includes feature testing type activity  activity  includes online management test process role responsibility worked development back end like data collection database schema designing create database dictionary made database constraint also worked front end designing like screen generations form designing applying client side validation sr documentation development  name hospital management system hm   hospital management system powerful flexible easy use designed developed deliver real conceivable benefit hospital clinic importantly backed reliable dependable hospital management system designed multispecialty hospitals cover wide range hospital administration management process integrated end end hospital management system provides relevant information across hospital support effective decision making patient care hospital administration critical financial accounting seamless flow environment presentation layer html css javascript jquery kendo ui business layer net framework  aspnet mvc database layer sql server operating system window feature  includes feature testing type activity  activity  includes online management test process role responsibility worked development back end like data collection database schema designing create database dictionary made database constraint also worked front end designing like screen generations form designing applying client side validation sr documentation development  name ticket booking software be   online ticket booking system web based application directly book ticket application application implemented bus tour travel agency environment presentation layer html css javascript jquery kendoui business layer net framework  aspnet mvc database layer sql server operating system window feature  includes feature testing type activity  activity  includes online management test process role responsibility worked development back end like data collection database schema designing create database dictionary made database constraint also worked front end designing like screen generations form designing applying client side validation sr documentation development  name school management system sm   school management system complete school management software designed automate school diverse operation classes exam school event calendar school software powerful online community bring parents teacher student common interactive platform paperless office automation solution today modern school school management system provides facility carry day day activity school making fast easy efficient accurate environment presentation layer html css javascript jquery business layer net framework  aspnet mvc database layer sql server operating system window feature  includes feature testing type activity  activity  includes online management test process role responsibility worked development back end like data collection database schema designing create database dictionary made database constraint also worked front end designing like screen generations form designing applying client side validation sr documentation development  name credit monitoring application using credit monitoring application rms uhs credit controller cmus able monitor manage following item online update regularization date add comment well generate report overdraft past due sblc fg expiry mortgage expiry cheque return failed direct debit nbf v cb classification relationship manager relationship manager update regularization date rm comment field disabled greyed relationship manager updating regularization date rm comments successful message displayed rm rm navigated dashboard screen credit controller ccu credit controller update ccu comments regularization date rm comment present otherwise ccu comment field disabled greyed field also disabled greyed ccu updating ccu comments successful message displayed ccu ccu navigated dashboard screen cmu cmu update cmu comments ccu comment present otherwise cmu comment field disabled greyed field disabled greyed cmu updating cmu comments successful message displayed cmu cmu navigated dashboard screen uh uh update uh comment field disabled greyed uh updating uh comments successful message displayed uh uh navigated dashboard screen environment presentation layer html css javascript jquery business layer net framework  aspnet mvc database layer sql server operating system window role responsibility understanding requirements coding unit testing sr documentation development education  mcm pune maharashtra pune university bsc computer science indore madhya pradesh davv university designation dot net developer dot net developer   entity framework exprience le  month c exprience le  month aspnet exprience le  month javascript exprience le  month oop exprience le  month aspnet mvc exprience le  month cs exprience le  month ajax exprience le  month sql exprience le  month jquery exprience le  month html exprience le  month json exprience le  months   cognizant technology solution  working dot net developer  ni lux software ltd  worked dot net developer  ni lux software ltd ,DotNet Developer
879,key  programing language c c  python apex visualforce database mysql framework django technology salesforcecom administration development  forcecom salesforce crm blockchain website designing html  cs   diploma  name vanet virtual ad hoc network technology used java  system made video streaming  give real time video steaming two device using vanet ap degree  name drowsiness detection system technology used python raspberry pi  system made driver safety parson driving car detects drowsy condition parson system brings alarmeducation  january computer engineering pune maharashtra sanghavi college engineering january diploma computer technology nashik maharashtra shree mahavir polytechnic january ssc nashik maharashtra cdomeri high school blockchain developer   ap exprience month apex exprience month c exprience month crm exprience month customer relationship management exprience months    job  managing mining firm creating smart contract wave ethereum platform,Blockchain
332, language java operating system windows linux centos database oracle sql derby embedded db ide eclipse oxygen tool sonarqube putty responsibilitis participated requirement gathering design development meeting reviewed code debugged error improve performance coordinated system partner finalize design confirm requirement consistently met deadline requirement production work order collaborated developer identify alleviate number bug software provided maintenance development bug fix patch set existing application education  bachelor engineering computer savitribai phule pune university java developer java developer aurus tech pvt ltd   java exprience month linux exprience month adavance java exprience le  month derby exprience le  month oracle exprience le  months   aurus tech pvt ltd    working payment gateway solution provider core java hardworking java developer enthusiastic working multicultural team  aurus tech pvt ltd  participated requirement gathering design development meeting reviewed code debugged error improve performance coordinated system partner finalize design confirm requirement consistently met deadline requirement production work order collaborated developer identify alleviate number bug software provided continued maintenance development bug fix patch set existing application,Java Developer
361,education  august may electronics communication jabalpur madhya pradesh takshshila institute technology java developer   java javascript exprience months   wab softwere pvt ltd  jr java developer,Java Developer
145,technical  web technology angular js html  cs  sass bootstrap jquery javascript software brackets visual studio photoshop visual studio code education  january cse nagpur maharashtra ghraisoni college engineering october photography competition click nagpur maharashtra maharashtra state board college magazine ocean web designer web designer trust system software   photoshop exprience month bootstrap exprience month html exprience month javascript exprience month cs exprience le  month angular exprience le  months   trust system software   worked trustbank cbs   trustbank cbs core banking solution trust system role responsibility renovated complete ui make modern user friendly maintainable optimised bank use shared ui structure guideline incorporated development team around member achieved target  completion given time frame made required graphic  photoshop loan bazar loan appraisal   loan bazar mvc based application dedicated creating managing loan application goal application streamline process loan application integrate existing cbs role responsibility designed developed modern responsive ui entire application achieved target given time frame made required graphic  photoshop capital security bond application   capital security bond application mvc based application provided online platform purchase gold bond role responsibility designed developed modern responsive ui entire application achieved target given time frame made required graphic  photoshop softgst   softgst web based application asp application every tax payer vendor generating gstr return basis sale purchase data additionally application reconciliation gstr purchase register role responsibility designed developed ui dashboard trust analytica   trust analytika mobile web app show bank asset liability income expense role responsibility designed developed landing page application supported developer ui implementation website  name tsr technology service http tsrtechnologyservicescom vidarbha merchant urban co op bank http vmcbankcom gi http gissscoin softtrust usa http softtrustusacom role responsibility communicated client understand requirement made mock website designed developed complete website hosted stipulated time  wwwjalloshbandcom   name jallosh band wwwjalloshbandcom endeavor foundation role responsibility communicated client understand requirement made mock website designed developed complete website hosted stipulated time  magicalfingers  national international client interaction management digital data,Web Designing
367,technicals springmvc hibernate jdbc java j ee azureweb suntechnologies services jsp struts servlet restapi scripting javascript ajax html json opensourcetechnologies php database mssql mysql oracle webservers apachetomcatserver internettechnologiesand onesignalwebpushnotifications azurewebservices framework ionic html json operatingsystem windowsserver r  winxp  linux mac o education  august july computer engineering nashik maharashtra late gn sapkal coe nashik july june diploma computer technology nashik maharashtra k k wagh polytechnic nashik java developer java developer   ajax exprience month database exprience month html exprience month j ee exprience month java exprience month spring mvc exprience month ionic exprience month angular j exprience month spring exprience le  month java exprience le  months   replete business solution pvt ltd  working java developer spring mvc mysql mssql java j ee ajax javascript ionic framework angular j etc technology,Java Developer
126,education  august january entermediate math mumbai maharashtra sunbeam academy  samne ghat  varanasi martial art fitness job      sport authority  nd dan black belt karate martial art searching personal trainer job fitness gold medal national karate championship gold medal state karate championship time best player  uttar pradesh award represented india selected world karate championship held croatia  europe,Arts
130,additional qualification april  web designing course average computer seducation  january january bachelor art sociology mumbai maharashtra mumbai university january january bachelor art sociology sophia college january january hsc sophia college january january ssc st teresa convent high school head business development art head business development art      british council  responsibility strategic oversight responsibility programme performing art music theatre dance cultural sector lead conception oversight specific large scale programme within overall art programme represent british council external event india act deputy director art required oversee manage resource deliver compelling communication applicant convey british council grant like charles wallace india trust young creative entrepreneur chevening clore scholarship program time excellence shortlisting interviewing potential applicant existing relevant grant fellowship oversee diverse range proposals progress report related  ensuring effective timely identification communication program progress lead team six  manager across country manage performance team responsible executing art  partnership built work expertise within geographic region ensure art insight knowledge available required managing relation existing partners developing relationship targeted new partner key government official ensuring market insight business development opportunity built planning new programme primary strategic responsibility marketing art program india ensure program build reputation attractive potential partners partnership marketing communication team  british council  cultural relation organization creating international opportunity people uk country building trust worldwide office six continent country bringing international opportunity life every day  work million people connecting united kingdom sharing culture uk attractive asset english arts education    british council  responsibility leading strategic development british council work music sector india sri lanka region building maintaining strong international partnership across sector india sri lanka uk developing strong external partnership lead significant external investment bc activity enabling delivery ambitious programme music sector activity event thus strengthening cultural relationship india sri lanka uk leading implementation music programme within india sri lanka along ed  plan liaison colleague india sri lanka uk proactive management budget timeline  ensuring systematic evaluation s including developing effective system process capturing quantitative qualitative information effectiveness  longer term impact management team across india sri lanka contributing recruitment development mentoring staff  british council  responsibility planning organizing logistics related events buildings performer artist personnel marketing performance event social media direct mail advertising use website producing poster publicity leaflet attracting medium coverage planning managing budget programming booking performance events including arrangement tour india development new  initiative consultation art professional key stakeholder eg local authorities local government communities venue director regional partner taking responsibility operational office management issue venue accessibility health safety issue implementing maintaining office information system providing administration support manager director ensuring corporate legal requirement complied with reporting head unit  british council  responsibility developing new specific new  initiative music film visual art sector consultation council key stakeholder planning managing budget supporting marketing performance event social media direct mail advertising use website producing poster publicity leaflet attracting medium coverage programming outreach workshop respective programme  aircheck india   intended launch station metro august  mumbai fm station win basic infrastructure includes studio production facility transmission tower station located central mumbai responsibility generating researching idea programme pitching commission sourcing potential contributor interviewee selecting music appropriate programme audience station producing pre production briefing presenters reporters technical staff contributor managing logistics getting people resource equipment together right place right time undertaking editing interviewing reporting duty necessary presenting programme managing presenter pre recorded recorded output checking copyright cleared understanding medium law using editing mixing software like sonic foundry vega  sonic foundry sound forge  acid  midi  rave magazine  rave magazine definitive voice music emerging indian sub continent lifestyle surround exclusive reporting unique sensibility editorial team   publishing rave magazine cover every genre music emerging region provides new perspective international music responsibility maintain production schedule report progress overview staff manage supervise photographer freelance writer generally provide administrative support editor participated production meeting brain storming session decide direction future trend content publication  x event  x event event management  primarily dealing corporate client used different event increase audience exposure brand responsibility development production delivery  proposal right delivery delivering event time within budget maintaining timeline priority every  managing supplier relationship managing operational administrative function ensure specific  delivered efficiently  banyan tree communication  responsibility sourcing potential contributor interviewee selecting music appropriate programme audience station undertaking editing interviewing reporting duty necessary checking copyright cleared understanding medium law  french embassy  part time basis  british council  mumbai advice student various academic opportunity united kingdom assisted various exhibition british council,Arts
701,area expertise profile around plus  proven  best global brand wipro expertise pmo itil management process improvement  process audit planning scheduling effort issue risk tracking risk issue management sla management workforce staffing resource management transition operation management   management tool ca clarity visio office itil incident management recruitment workforce management technical sap hr mrs cpro confluence microsoft office word powerpointexcellent knowledge hand  advanced m excel knowledge m  sharepoint reporting ticket tool xtraction ca service desk tracker education  mba hr finance bengaluru karnataka rkims college senior executive pmo senior executive pmo consultant   operation exprience month staffing exprience month hr exprience month pmo exprience months   ensono llp  role responsiblites responsible creation structured report present senior deliery management per business requirement design draft various report per business requirement responsible creation mom chasing people getting sla driven time achieving target result time assist  manager creating rr deputation invoicings billing activites maintaining clarity sharepoint data service delivery management perform customer invocing direction cem sdm weekly preparation sla kpi data based manual tracker sharing client senior management  implementation management invoicing billing management participate establishing client contractual documentation  various delivery model like managed services fixed price m sla based risk penalty required manage sla target save penalty towards customer drive sla call plus customer multiple tower spoc time floor analysis tofa report highlighting employee tailgating data high level management ensure compliance related issue floor maintenance ensure asall joining formality boarding activity new employee identify drivekey metric like billing efficiency resource utilization maintain  library filing recording reporting system monitor  progress risks roadblocks opportunity manage communication stakeholder develop flow chart sop ad maintain process change database monitor severity call prepare monthly report operational report capacity utilization report timesheet report sla compliancereport quarterly report operational report quarter trend internal report allowances billing reports repository maintenance documentscreate  sub  plan monitor progress schedule maintain risk issue log actively participate  management community responsible  cost schedule budget revenue milestone progress  wipro technology  role responsiblites responsible creation structured report present senior deliery management per business requirement design draft various report per business requirement responsible creation mom chasing people getting sla driven time achieving target result time assist  manager creating rr deputation invoicings billing activites maintaining clarity sharepoint data service delivery management perform customer invocing direction cem sdm weekly preparation sla kpi data based manual tracker sharing client senior management  implementation management invoicing billing management participate establishing client contractual documentation  various delivery model like managed services fixed price m sla based risk penalty required manage sla target save penalty towards customer drive sla call plus customer multiple tower spoc time floor analysis tofa report highlighting employee tailgating data high level management ensure compliance related issue floor maintenance ensure asall joining formality boarding activity new employee identify drivekey metric like billing efficiency resource utilization maintain  library filing recording reporting system monitor  progress risks roadblocks opportunity manage communication stakeholder develop flow chart sop ad maintain process change database monitor severity call prepare monthly report operational report capacity utilization report timesheet report sla compliancereport quarterly report operational report quarter trend internal report allowances billing reports repository maintenance documentscreate  sub  plan monitor progress schedule maintain risk issue log actively participate  management community responsible  cost schedule budget revenue milestone progress  wipro infotech  responsibility monitor manage headcount actual v plan region maintain headcount ratio revenue maintain monitor correct tagging sap  tagging supervisor tagging org unit cost center region financials maintained properly responsible providing exact accurate headcount report gm calculation responsible managing bench management deploy resource responsible managing driving tenure management eligible employee deploy according aspiration business need responsible hiring maintaining rookie ratio location actively track training deploy analyze past volume staffing pattern implement action based forecast provided resource crunch addressed make sure availability resource time go live validate head count plan  work stake holder service delivery manager optimizing resource ensure required wfm data tracked trended continuous basis nld team identify resource completed tenure  plan training help training team elevate higher role back fill rookie trb te wims sims interface service delivery manager director needed escalation service impacting issue due resource availability coordinate stake holder operation interface client handle account management issue add resource per requirement manages staff schedule responsibility workforce management team region bu prepare daily weekly monthly report distribute management team manages staffing ratio seat utilization optimization ensure  goal met build effective working relationship internal department take care special  pwd rookie hiring model training deployment personal  dob pan awvpb n passport j linguistic ability english hindi marathi kannada konkani location pune india marital status married,PMO
901,computer  proficient m office word basic excel power point strength hard working loyalty creativity self motivated responsible initiative good people management  positive attitude knowledge windows interneteducation  bachelor electrical engineering electrical engineering nashik maharashtra guru gobind singh college engineering research centre diploma electrical engineering nashik maharashtra e polytechnic college testing engineer   excel exprience month m office exprience month word exprience months    department testing responsibility check acb vcb circuit breaker following test conducted circuit breaker per drawing check breaker timing check contact resistance using contact resistance meter crm check breaker insulation resistance ir check breaker rack rack properly check closing tripping operation work properly check following test conducted mcc pcc panel insulation resistance ir test contact resistance crm test check connection mcc pcc panel per drawing check following test conducted transformer insulation resistance ir test transformer ratio test transformer vector group test magnetic balance test magnetic current test check transformer tapping remotely well manually check alarm tripping protection command work properly per circuit diagram check test conducted hv cable hi pot test insulation resistance ir test check lv cable using megger ir test check relay connection per circuit diagram create defect list arising testing try find solution minimize problem  trans power solution  lake site co opsoc adi shankaracharya marg opp iit main gate powai,Testing
196, knowledge software computer auto cad included diploma academic syllabus mscit cnc programming fanuc series milling strength strong dedication towards work quick learner positive thinking self confidence honest discipline hardworking industrial  day industrial training nagpur agro components hingna road nagpur day industrial training metal fab high tech pvt ltd hingna road nagpur extra criculum activity education  rtmnu mechanical engineering   auto cad exprience month automotive exprience month automotive cnc exprience month cad exprience month cnc exprience months   tata motors adani maruti suzukijet airway air india  student mechanical engineering final  fresher experiance industry rd  industrial training program conducted day training experiance industry th semister day working nagpur agro component working machine cnc machine seen industry th semister another training program metal fab    english hindi marathi participate jsw urja  competition machine assembly disassembly functioning part week final   design nd fabrication pneumatic punching machine paddle operated sugarcane juicer machine diploma engineering,Mechanical Engineer
5, c basics iot python matlab data science machine learning html microsoft word microsoft excel microsoft powerpoint recognition academic secured first place btecheducation  august may btech ghatkesar andhra pradesh aurora scientific technological institute june may secondary education warangal telangana sr junior college data science   m office exprience le  month c exprience le  month machine learning exprience le  month data science exprience le  month matlab exprience le  months   ,Data Science
155,technical  web technology angular js html  cs  sass bootstrap jquery javascript software brackets visual studio photoshop visual studio code education  january cse nagpur maharashtra ghraisoni college engineering october photography competition click nagpur maharashtra maharashtra state board college magazine ocean web designer web designer trust system software   photoshop exprience month bootstrap exprience month html exprience month javascript exprience month cs exprience le  month angular exprience le  months   trust system software   worked trustbank cbs   trustbank cbs core banking solution trust system role responsibility renovated complete ui make modern user friendly maintainable optimised bank use shared ui structure guideline incorporated development team around member achieved target  completion given time frame made required graphic  photoshop loan bazar loan appraisal   loan bazar mvc based application dedicated creating managing loan application goal application streamline process loan application integrate existing cbs role responsibility designed developed modern responsive ui entire application achieved target given time frame made required graphic  photoshop capital security bond application   capital security bond application mvc based application provided online platform purchase gold bond role responsibility designed developed modern responsive ui entire application achieved target given time frame made required graphic  photoshop softgst   softgst web based application asp application every tax payer vendor generating gstr return basis sale purchase data additionally application reconciliation gstr purchase register role responsibility designed developed ui dashboard trust analytica   trust analytika mobile web app show bank asset liability income expense role responsibility designed developed landing page application supported developer ui implementation website  name tsr technology service http tsrtechnologyservicescom vidarbha merchant urban co op bank http vmcbankcom gi http gissscoin softtrust usa http softtrustusacom role responsibility communicated client understand requirement made mock website designed developed complete website hosted stipulated time  wwwjalloshbandcom   name jallosh band wwwjalloshbandcom endeavor foundation role responsibility communicated client understand requirement made mock website designed developed complete website hosted stipulated time  magicalfingers  national international client interaction management digital data,Web Designing
